Year,Case Vehicle ID,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make,Contributing Factor 1,Contributing Factor 1 Description,Contributing Factor 2,Contributing Factor 2 Description,Event Type,Partial VIN
2018,15252738,4 DOOR SEDAN,OMNIBUS - TAXI,Going Straight Ahead,Not Entered,South,Gas,2015,NY,1,4,TOYOT,HUMAN,Not Applicable,HUMAN,Unsafe Speed,Not Applicable,4T1BF1FK7FU025884
2018,15252741,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2004,NY,1,4,HONDA,HUMAN,Not Applicable,HUMAN,Unsafe Speed,Not Entered,5J6YH28684L002352
2018,15252740,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2003,NY,1,8,TOYOT,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Entered,5TDBT44A63S144079
2018,15252742,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,Northwest,Gas,2015,NY,1,4,SUBAR,HUMAN,Not Applicable,ENVMT,Animal's Action,Not Applicable,JF2SJAGC1FH572525
2018,15252744,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2006,NY,1,4,HONDA,HUMAN,Following Too Closely,HUMAN,Unsafe Speed,Not Applicable,1HGCM55836A027520
2018,15252746,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,Northwest,Gas,2014,NY,2,4,FORD,HUMAN,Not Applicable,HUMAN,Not Applicable,"Light Support/Utility Pole, Collision With Fixed Object",1FMCU9G90EUA01879
2018,15252745,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,Northeast,Gas,2003,NY,1,4,CHRYS,HUMAN,Not Applicable,HUMAN,Failure to Yield Right-of-Way,Not Applicable,4C3AG42G63E140663
2018,15252748,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,East,Gas,2010,NY,2,4,HONDA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,2HGFA1F52AH534812
2018,15252747,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2010,NY,1,4,NISSA,HUMAN,Not Applicable,HUMAN,Following Too Closely,Not Applicable,1N4AL2AP5AN552901
2018,15252749,PICKUP TRUCK,PASSENGER OR SUBURBAN,Overtaking/Passing,Not Entered,Northeast,Gas,2007,NY,1,6,TOYOT,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,5TEUU42N67Z444063
2018,15252751,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Changing Lanes,Not Entered,South,Gas,2015,NY,1,4,TOYOT,HUMAN,Not Applicable,HUMAN,Unsafe Lane Changing,Not Applicable,JTDKN3DU2F1878976
2018,15252750,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Changing Lanes,Not Entered,South,Gas,2010,NY,1,6,VOLVO,HUMAN,Not Applicable,HUMAN,Unsafe Lane Changing,Not Applicable,YV1992AH1A1123180
2018,15252753,SUBURBAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,West,Gas,2014,NY,1,6,ME/BE,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,4JGDA5HB3EA430636
2018,15252752,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2017,NY,1,4,VOLKS,HUMAN,Not Applicable,HUMAN,Following Too Closely,Not Applicable,1VWBT7A36HC053987
2018,15252755,SUBURBAN,PASSENGER OR SUBURBAN,Parked,Not Entered,West,Gas,2011,NY,0,8,GMC,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1GKS2AE08BR334863
2018,15252754,CONVERTIBLE,PASSENGER OR SUBURBAN,Making Right Turn,Not Entered,Southeast,Gas,1994,NY,1,6,FORD,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,1FALP4445RF210560
2018,15252756,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Right Turn,Not Entered,West,Gas,2011,NY,2,6,BMW,HUMAN,Unsafe Speed,HUMAN,Failure to Keep Right,Not Applicable,WBAKF5C59BE656213
2018,15252759,SUBURBAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,South,Gas,2006,NY,1,6,CHRYS,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,2A4GP54L66R769123
2018,15252758,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Parked,Not Entered,North,Gas,2013,NY,0,4,NISSA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,3N1AB7AP0DL725984
2018,15252757,PICKUP TRUCK,POLITICAL SUBDIVISION,Going Straight Ahead,Not Entered,South,Gas,2005,NY,2,8,FORD,HUMAN,Not Applicable,HUMAN,Passing or Lane Usage Improper,Not Applicable,1FTWF31525EA24797
2018,15252761,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2015,NY,1,8,DODGE,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1C4SDJCT5FC245876
2018,15252760,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Right Turn,Not Entered,North,Gas,2005,NY,1,8,CADIL,HUMAN,Not Applicable,HUMAN,Failure to Yield Right-of-Way,Not Applicable,1G6DC67A850123663
2018,15252763,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Stopped in Traffic,Not Entered,West,Gas,2017,NY,1,4,KIA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,KNDPMCAC8H7165293
2018,15252762,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2016,NY,1,4,KIA,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,5XXGU4L34GG078449
2018,15252766,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2016,NY,3,4,JEEP,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,ZACCJBDT8GPD81059
2018,15252765,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2013,NY,1,6,FORD,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1FAHP2H82DG165698
2018,15252764,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2004,NY,1,8,LA/RO,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,"Other Motor Vehicle, Collision With",SALTY19434A855964
2018,15252770,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2009,NY,1,4,HYUND,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,KMHDU46D89U687799
2018,15252773,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2015,NY,1,4,CHEVR,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,2GNALAEK0F6183404
2018,15252772,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2014,NY,1,4,SUBAR,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,JF2GPACC8E8313149
2018,15252771,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2014,NY,1,4,GMC,HUMAN,Not Applicable,HUMAN,Following Too Closely,Not Applicable,2GKFLVEK1E6198678
2018,15252775,PICKUP TRUCK,COMMERCIAL,Going Straight Ahead,Not Entered,South,Diesel,2017,NY,1,8,CHEVR,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1GC1KWEY8HF164301
2018,15252774,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2008,NY,1,6,CHEVR,HUMAN,Following Too Closely,HUMAN,Unsafe Speed,Not Applicable,2G1WT58N881381085
2018,15252777,SUBURBAN,SPECIAL PASSENGER,Slowing or Stopping,Not Entered,West,Gas,2012,NY,1,8,VPG,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,523MF1A69CM100677
